Gene.Name	Gene.ID	log2FoldChange	pvalue	padj	Regulacion
KRT6A	ENSG00000205420	10.9243945226558	4.96666411251103e-28	4.00594571768098e-24	UP
	ENSG00000231683	9.38333275788503	2.82465674442857e-09	2.64915578468752e-07	UP
FDCSP	ENSG00000181617	8.48448345354581	0.000943456771200547	0.00802778520884125	UP
JMJD1C	ENSG00000171988	-0.500221955893568	0.00267257704998777	0.0178493919068601	DOWN
GNPTAB	ENSG00000111670	-0.50253311138377	0.00147065723013401	0.0113149421295875	DOWN
AFDN	ENSG00000130396	-0.514850054829375	0.00888627148781127	0.0434561663683447	DOWN
